lunachessengine,2112.57,2149,554,-12,3683821,15500
lynx_bot,2046.5,2170,4490,21,57972354,2765483
maia1,1528.12,1976,115802,-33,518252941,2952337
maia5,1669.1,2047,36720,-17,260830188,3769352
maia9,1671.64,2282,57486,15,227971521,9077684
mate-ai,2878.31,2926,9595,1,5498985,1457073
materialisoverrated,2516.68,2596,3421,-4,2237095,92540
maxthedog,2079.48,2193,8156,-15,2903144,67645
mayhem23111,2860.04,2879,252,27,215217,47055
md211bot,2887.57,2902,1980,5,896527,189967
medipoluniversity,2995.68,3006,369,4,155614,12178
melsh_bot,1783.1,1847,1862,-51,1070488,7165
misteick_bot,2327.06,2508,10005,-5,6162357,260826
monchester,1459.27,1860,1794,-8,714557,9269
mustafayilmazbot,3215.49,3307,1151,2,210515,7374
nikitosikbot,2894.86,3056,14427,-1,17873212,2435194
notropis,1882.76,1920,2092,16,0,0
odonata-bot,2311.91,2410,4430,-4,7609620,671773
pangubot,2906.84,2952,1555,1,822057,185725
pawn_git,2386.45,2518,1727,9,2076662,152893
pawnrobot,1253.84,1467,3475,-9,1839188,971
phalanx-xxv,2321.76,2417,2943,0,3115578,826567
playwithkomodo,2544.4,2596,1959,12,1197974,41041
proteussf,2877.75,2877,222,5,465483,70113
proteussf-lite,2825.37,2839,925,3,1497563,190707
pseudo-0,2302.03,2361,2866,-6,3882927,733779
qalatbotengine,2936.99,2940,4173,1,1948448,604415
queensgambot,1890.51,2074,4073,-14,1917377,91687
raspfish,2854.05,2983,35712,-3,15067590,3393904
renegadeengine,2339.52,2348,933,-4,1607002,20953
requinbot,2359.12,2359,201,17,147124,5810
resolutebot,2887.37,3043,25803,-4,18539086,7067388
rootengine,2058.68,2159,2401,-1,5529796,242100
roundmoundofrebounds,1456.67,1523,717,-28,1495217,391
sargon-1ply,1460.87,1888,3635,14,7627433,8434
sargon-2ply,1456.29,1755,1754,-26,4000805,8590
sargon-3ply,1560.92,1833,740,-5,1864758,12276
sargon-4ply,1626.04,1940,977,-2,1382409,15641
sf_bot,2582.35,2700,35,9,12082897,2354
shineshou90_bot,2834.71,2866,2989,7,2347786,514931
simpleeval,2291.83,2410,22950,2,29621396,3300766
simplereval,2218.97,2320,2347,16,6602838,390332
simplexitor,1740.56,1814,1369,-12,1918901,8070
sunfish_rs,1924.34,2170,1735,0,3112966,990519
super-sketchy,3005.78,3010,1142,8,990435,143029
thematrix2025,2870.88,2950,4817,-8,1362035,269042
theoden8_uci,1927.23,2012,2639,2,3919109,84836
torombot,2919.05,2953,50223,-3,13110987,5263590
turkjs,1688.59,2201,20479,16,19451356,2193859
turochamp-1ply,1512.29,1704,1248,20,2872031,4034
turochamp-2ply,1551.07,1918,1026,-8,1795079,14950
virutor,1816.19,2018,5603,2,9602276,776106
weiawaga,2410.93,2487,11598,17,35415016,4429912
yellowflash-x,2926.12,2932,338,9,56644,13469
yellowflash_v2,2867.93,2889,229,-8,37351,7004
yeoldwiz,1283.46,1643,576,27,1766366,18767
yobot_v2,2897.15,2956,15676,1,19586053,5181505
yz-bot-test,1648.19,1743,135,12,12388,0
zagreus_engine,1980.58,2024,2054,-18,3213129,24392
zeekat,1956.63,2061,13280,-6,23629916,347850
