Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
arduchessbot,1759.72,1887,5889,-5,892079,4117
baby_eubos,1770.61,1872,5689,-4,6099659,33819
ptit-biscuit,1827.78,1871,893,-12,895813,683
shallowredbot,1748.3,1867,40,-19,119179,0
monchester,1490.84,1860,2446,5,877413,9269
fisk_bot,1740.95,1840,235,10,839835,810
sargon-3ply,1585.51,1833,1373,8,2407268,12553
simplexitor,1677.46,1814,2629,21,3400627,9286
sargon-2ply,1487.07,1755,2641,-12,4750529,8590
yz-bot-test,1625.9,1743,1709,9,160274,256
ohnibot,1327.77,1723,511,28,384569,0
ze_rook,1613.34,1723,1999,-3,1414325,253
jibbby,1664.56,1715,2637,2,7064683,39346
turochamp-1ply,1510.85,1704,2139,13,3593253,4034
dlvc-bot,1685.99,1689,195,46,308770,0
humaia,1682.49,1686,420,78,6502424,3871
yeoldwiz,1450.13,1643,834,18,2160116,18951
davidsguterbot,1628.24,1631,6400,15,3117341,4255
knucklefish,1287.93,1621,3114,27,792617,1632
roundmoundofrebounds,1501.29,1577,1364,0,2102181,391
schnecken_bot,1395.59,1527,1021,8,796042,28
chompbot,1295.07,1524,945,3,1010105,0
abotwith3200rating,1297.42,1518,138,25,114465,0
stupidchessrobot,1393.5,1480,501,-10,997380,569
pawnrobot,1284.24,1467,4339,3,2542961,971
bottideeval,1411.01,1457,1266,18,63674,0
bobby-bot,1348.48,1366,443,6,241877,388
bobandi,1215.56,1273,1214,-11,1478983,995
gptplayschess,956.29,1252,76,-12,34348,0
bernd_der_bot,994.81,1198,353,-3,165339,0
