Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
jobabot,1969.52,1975,175,14,471722,863
juroj,2759.93,2789,2460,3,28169273,1834773
karl-bot,1850.8,1863,2306,-9,1271418,1504
kasabot,1955.59,1991,2957,15,2109176,5517
kingfishbot,2603.39,2603,98,45,133305,245
knucklefish,1095.9,1438,3568,21,792257,1632
lazybot,2719.94,2764,2052,-44,2201970,370042
lazybotjr,1951.35,2208,1777,-32,1484935,64741
leamoreau,2028.49,2061,393,10,736417,7610
leelalevel5,1954.81,2301,4179,-5,11110965,45003
leelamultiposs,2868.9,2868,404,2,942513,63239
leelarogue,1908.69,2186,2453,-11,6522711,302096
leorikbot,2273.76,2342,860,11,1000466,48162
likeawizard-bot,1843.57,1889,2473,-5,2199568,2840
lunachessengine,2254.04,2284,1691,6,5761071,24493
lynx_bot,1925.31,2101,55720,33,65470084,2790707
maia1,1422.27,1677,211107,-37,571583313,2963068
maia5,1594.5,1934,103171,10,290925495,3777868
maia9,1643.7,2009,101991,10,259652226,9097772
mate-ai,2822.3,2894,3924,-3,7056126,1789079
materialisoverrated,2477.06,2577,5645,-3,3340127,153576
matmoi,2144.36,2199,1460,8,2683656,20459
maxthedog,1997.31,2196,4595,8,6852900,92420
md211bot,2847.27,2871,479,-1,1914401,346869
medipoluniversity,2629.3,3020,116,49,197206,12291
melsh_bot,1703.75,1854,2246,22,2368735,8490
michabay05,1876.56,1981,815,-16,1738282,3251
misteick_bot,2467.01,2539,6153,-5,9245320,325476
monchester,1385.18,1691,2783,3,877296,9269
morabandbot,2219.57,2254,151,6,311673,2807
mrchessthebot,2778.62,2850,1871,-6,5252405,632263
mustafayilmazbot,2726.06,2838,364,9,259767,10100
myopic-bot,2005.35,2212,1860,7,1816588,28934
nakshatra3,2239.11,2312,1626,-8,2268259,134798
natesbot,1790.16,1790,136,10,141668,0
nc3nc6bot,1958.4,2094,1516,8,4583957,21911
nikitosik-ai,2774.33,2813,362,1,2414785,219400
nikitosikbot,2834.67,3041,6815,-2,26082786,3999321
notropis,1747.68,1933,6901,12,0,0
odonata-bot,2387.03,2445,6514,-11,9377424,710348
ohnibot,1194.38,1407,327,10,384569,0
openingsbot,2440.59,2483,818,-6,1465026,14604
opentalbot2023,2602.07,2721,212,-19,419720,11221
pangubot,2876.31,2887,1271,-5,2724170,539198
pawn_git,2522.02,2611,2524,-8,4767082,273043
pawnrobot,1273.87,1349,2167,6,2542940,971
phalanx-xxv,2370.09,2455,2650,2,4579710,851809
piglet_engine,1683.34,1732,98,-8,177157,135
proteussf,3010.08,3010,1549,5,2101929,152702
proteussf-godot,2879.47,2902,812,1,867754,65391
proteussf-lite,3002.4,3002,2438,3,2562746,246645
proteussf-open,3000.88,3016,2408,3,2334910,136077
proteussf-turbo,3000.75,3010,1776,-1,3183887,211811
pseudo-0,2408.35,2412,2953,17,5476067,753667
ptit-biscuit,1817.42,1873,693,6,893685,683
qalatbotengine,3152.41,3152,3252,3,2542089,644655
queensgambot,1695.24,2022,3361,-5,3029821,93412
raspfish,2810.79,2886,12158,11,21884892,4227983
ravenengine,2345.42,2369,1654,14,3358104,1560940
redtail-zero,2051.46,2106,439,-13,1001024,8179
reinforcementtrial,2812.53,2812,105,6,10472489,1266327
resolutebot,2855.78,2929,11647,1,19324081,7145125
roundmoundofrebounds,1465.2,1502,1348,16,2102181,391
sargon-1ply,1266.41,1512,8703,6,8923013,8434
sargon-2ply,1282.77,1494,3317,23,4749559,8590
sargon-3ply,1507.47,1799,2085,3,2406404,12553
sargon-4ply,1520.15,1810,2115,0,2053535,16570
saxtonengine,2495.83,2611,2430,-14,5204374,446832
schnecken_bot,1292.44,1294,2128,24,796042,28
sf-nnue,2830.33,2830,79,18,223919,22315
shallowredbot,1588.26,1731,36,-123,119179,0
shineshou90_bot,2805.9,2873,1990,-2,6845656,1035087
simpleeval,2271.77,2583,14876,6,33133040,3330581
simplereval,2243.96,2428,3448,-10,7808872,398283
simplexitor,1653.38,1736,2651,-2,3398796,9286
stupidchessrobot,1396.13,1429,1147,-17,993635,569
sun_bird,1644.65,1655,184,-2,403315,114
the_marcus,1728.76,2029,599,-15,632688,1726
thematrix2025,2870.21,2878,577,1,2353791,406459
thematrix2029,2871.15,2930,1818,4,2130184,526527
theoden8_uci,1987.56,2127,4058,0,5728378,92796
torbot,2921.7,2958,1884,-5,2829012,489074
torombot,2873.93,2903,3334,0,17919328,6211526
trollfish-bot,1824.22,1917,1889,-6,3590392,3876
ttbot,2852.75,2970,499,-19,669822,57461
tuksubot,2407.44,2444,4092,8,9723125,760972
turkjs,1548.69,1907,11442,2,20952393,2194914
turobot,1428.19,1723,5233,-11,5148327,33950
turochamp-1ply,1264.64,1542,2086,-2,3593104,4034
turochamp-2ply,1404.61,1677,1975,11,2483486,14950
tutorialbotelmejor,2848.21,2850,222,-1,385881,66525
ultimatel,2860.49,2886,818,0,1144639,286632
variantstop,2895.57,2904,266,-5,199965,24917
virutor,1727.71,1955,8007,0,11254042,778295
waspbot,1823.36,1971,245,-116,475673,7488
weiawaga,2476.39,2564,12351,9,42022145,4632622
yeoldwiz,1647.83,1698,1711,15,2160116,18951
yobot_v2,2873.4,2890,4810,-5,26809477,6386132
yousafebot,1901.59,1910,126,31,106991,0
yz-bot-test,1501.5,1657,217,15,160274,256
ze_rook,1514.55,1556,3156,34,1407649,253
zeekat,1918.61,2049,21256,0,33807958,385096
zulu_bot,1861.98,1970,1193,-3,867989,956
